SECRET SCRAMBLE SET PASSCODES
SPB Muffin Reloaded 2022

Make sure that only Delegates have access to this file.
Give passcodes to scramblers when the corresponding
groups begin (but not earlier). If you have to put
someone else in charge of the passcodes temporarily,
only give them the minimum amount of passcodes needed.

3x3x3 Round 1 Scramble Set A: jn3ci5iu
3x3x3 Round 1 Scramble Set B: ug88tvsn
3x3x3 Round 1 Scramble Set C: kv53ciy8
3x3x3 Round 1 Scramble Set D: y6wx8cdy
3x3x3 Round 1 Scramble Set E: zuibnjzr
3x3x3 Round 1 Scramble Set F: 42b86ipd
3x3x3 Round 1 Scramble Set G: tnsqh5py
3x3x3 Round 2 Scramble Set A: 7spkcd75
3x3x3 Round 2 Scramble Set B: dfirnu67
3x3x3 Round 2 Scramble Set C: mb4d3zmn
3x3x3 Round 2 Scramble Set D: fz9neyhp
3x3x3 Round 2 Scramble Set E: yt5u5bcn
3x3x3 Round 3 Scramble Set A: efmfwrxy
3x3x3 Round 3 Scramble Set B: 2kx5wtyu
3x3x3 Round 3 Scramble Set C: 52mx947r
2x2x2 Round 1 Scramble Set A: iuwagsw8
2x2x2 Round 1 Scramble Set B: 5ciezbeq
2x2x2 Round 1 Scramble Set C: zj93k8ps
2x2x2 Round 1 Scramble Set D: r5yybw63
2x2x2 Round 1 Scramble Set E: pndwekip
2x2x2 Round 1 Scramble Set F: 5s7hqzs4
2x2x2 Round 1 Scramble Set G: r2ygm9iw
2x2x2 Round 2 Scramble Set A: p53bjm5t
2x2x2 Round 2 Scramble Set B: xvu8v34g
2x2x2 Round 2 Scramble Set C: mkkgq7wv
2x2x2 Round 2 Scramble Set D: 6mawcnej
2x2x2 Round 3 Scramble Set A: 5j37sj9u
2x2x2 Round 3 Scramble Set B: 3ns8y399
2x2x2 Round 3 Scramble Set C: z374ufg3
4x4x4 Round 1 Scramble Set A: mpnqsgf2
4x4x4 Round 1 Scramble Set B: 7j4wz2yh
4x4x4 Round 1 Scramble Set C: hg9jym6m
4x4x4 Round 1 Scramble Set D: 387yuhw6
4x4x4 Round 1 Scramble Set E: pwe2cad5
4x4x4 Round 2 Scramble Set A: kjzycig7
4x4x4 Round 2 Scramble Set B: pd96ppd3
4x4x4 Round 2 Scramble Set C: w7y8wcf4
5x5x5 Round 1 Scramble Set A: shy6jvyb
5x5x5 Round 1 Scramble Set B: uee5yde4
5x5x5 Round 1 Scramble Set C: tv85hk34
5x5x5 Round 1 Scramble Set D: i9h787be
5x5x5 Round 2 Scramble Set A: bs92vgr5
5x5x5 Round 2 Scramble Set B: dfv98vgt
5x5x5 Round 2 Scramble Set C: s45kscu9
3x3x3 Blindfolded Round 1 Scramble Set A: qsfj699w
3x3x3 Blindfolded Round 1 Scramble Set B: sxe9xw8a
3x3x3 Blindfolded Round 1 Scramble Set C: dduwvxsx
3x3x3 Blindfolded Round 1 Scramble Set D: vc7yzss2
Clock Round 1 Scramble Set A: h6qdkua2
Clock Round 1 Scramble Set B: 888ti6x6
Clock Round 1 Scramble Set C: djv8yph7
Clock Round 1 Scramble Set D: baahqbbd
Clock Round 1 Scramble Set E: 6cm24mzf
Clock Round 2 Scramble Set A: bv6p5kmr
Clock Round 2 Scramble Set B: jpk5n5em
Clock Round 2 Scramble Set C: hhrcj4br
Megaminx Round 1 Scramble Set A: xrh4ttqa
Megaminx Round 1 Scramble Set B: ugqvpnwv
Megaminx Round 1 Scramble Set C: isviyxqa
Megaminx Round 1 Scramble Set D: 2q7xd8dt
Pyraminx Round 1 Scramble Set A: p38ff427
Pyraminx Round 1 Scramble Set B: t4jeay3v
Pyraminx Round 1 Scramble Set C: mbg65b2u
Pyraminx Round 1 Scramble Set D: esrw55zj
Pyraminx Round 1 Scramble Set E: 2bsm2dt2
Pyraminx Round 1 Scramble Set F: r3ihrpp6
Pyraminx Round 1 Scramble Set G: hm9jxdjk
Pyraminx Round 2 Scramble Set A: 4vyi7ggt
Pyraminx Round 2 Scramble Set B: ib4hgq5t
Pyraminx Round 2 Scramble Set C: 855cgxxv
Square-1 Round 1 Scramble Set A: j55zgwh4
Square-1 Round 1 Scramble Set B: 9xrc5ztn
Square-1 Round 1 Scramble Set C: i6975ber
Square-1 Round 1 Scramble Set D: 43fv522k
